sample_idx,original_class,original_class_name,target_class,target_class_name,predicted_class,predicted_class_name,subject_id,injured_leg,valid,confidence,iterations,time_seconds,imu_l2,imu_l1,imu_changed_pct,imu_channels_changed,sensor_groups_changed,modality_groups_changed,changed_sensor_groups,changed_modality_groups,imu_temporal_grad
572,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,4,right,True,0.9960730075836182,200,10.296252250671387,80.09281076666261,5828.225378799953,51.09963462619449,27,6,9,RF_R; Ham_R; TA_R; Gast_R; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.16562977536527618
522,4,Leg Extension - Limited ROM,3,Leg Extension - Correct,3,Leg Extension - Correct,4,right,True,0.9846487641334534,200,8.454195261001587,50.83175871239898,3466.347565909624,46.49030354131535,27,7,9,RF_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc; Ham_L_acc; TA_L_acc; Gast_L_acc,0.06885639725681711
128,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,21,right,True,0.9990271329879761,200,3.2352454662323,121.13715155730682,7656.1888426832165,42.27796514896009,27,6,9,RF_R; Ham_R; TA_R; Gast_R; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.17634959925960908
416,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,30,left,True,0.813719630241394,200,8.555697202682495,75.08295003220394,5000.380095591801,26.440415964024734,27,7,9,RF_R; Ham_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_gyr; Ham_R_acc; Gast_R_acc; RF_L_acc; Ham_L_acc; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.017491265626799316
628,4,Leg Extension - Limited ROM,3,Leg Extension - Correct,3,Leg Extension - Correct,6,left,True,0.970319926738739,200,3.097412586212158,45.40195842796944,3054.4781332630596,47.04539066891512,27,7,9,RF_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc; Ham_L_acc; TA_L_acc; Gast_L_acc,0.07323362953434932
680,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,6,left,True,0.9978887438774109,200,3.1023192405700684,99.91278322656942,6702.558483025624,47.17889263631253,27,6,9,RF_R; Ham_R; TA_R; Gast_R; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.1567776837030098
410,4,Leg Extension - Limited ROM,3,Leg Extension - Correct,3,Leg Extension - Correct,30,left,True,0.9214848875999451,200,3.1112453937530518,64.63924491620828,4290.265086688016,40.21219786396853,27,7,9,RF_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc; Ham_L_acc; TA_L_acc; Gast_L_acc,0.06124842186352507
303,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,5,Leg Extension - Lifting limb,28,right,False,4.1912622350537276e-07,100,1.7388052940368652,46.447478450663056,3571.8808574178393,55.888139404159645,27,7,9,RF_R; Ham_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_gyr; Ham_R_acc; Gast_R_acc; RF_L_acc; Ham_L_acc; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.0861799723070426
130,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,21,right,True,0.9990412592887878,123,2.2088406085968018,120.46238316197358,7785.610245157097,43.17032040472175,27,6,9,RF_R; Ham_R; TA_R; Gast_R; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.17221220438334098
645,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,6,left,True,0.9490933418273926,190,3.0219554901123047,48.483288365020435,2496.3634967475346,22.400224845418776,27,7,9,RF_R; Ham_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_gyr; Ham_R_acc; Gast_R_acc; RF_L_acc; Ham_L_acc; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.02243528865050349
