sample_idx,original_class,original_class_name,target_class,target_class_name,predicted_class,predicted_class_name,subject_id,injured_leg,valid,confidence,iterations,time_seconds,imu_l2,imu_l1,imu_changed_pct,imu_channels_changed,sensor_groups_changed,modality_groups_changed,changed_sensor_groups,changed_modality_groups,imu_temporal_grad
572,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,4,right,True,0.9895092248916626,446,8.543307304382324,44.49131339442632,754.2910570930787,1.345559302979202,26,7,13,RF_R; Ham_R; TA_R; Gast_R; RF_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.014535809867540866
522,4,Leg Extension - Limited ROM,3,Leg Extension - Correct,3,Leg Extension - Correct,4,right,True,0.9848967790603638,778,9.983791828155518,46.573631056000494,1370.2886847663108,3.9523608768971332,14,5,8,RF_R; Ham_R; TA_R; Gast_R; RF_L,RF_R_acc; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc,0.007030614194654222
128,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,21,right,True,0.9766987562179565,928,12.30187463760376,70.00837150859374,1377.2150276543025,1.7952501405283867,33,8,15,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.026367821167886236
416,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,30,left,True,0.9656549692153931,692,8.866338968276978,62.961216857846395,3238.6794876487265,11.586565486228217,29,8,15,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.0099485848877831
628,4,Leg Extension - Limited ROM,3,Leg Extension - Correct,3,Leg Extension - Correct,6,left,True,0.9874667525291443,520,6.27960467338562,43.6661763898436,952.1366556559119,2.4311410905002813,15,5,8,TA_R; Gast_R; Ham_L; TA_L; Gast_L,TA_R_acc; Gast_R_acc; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.005643279979530508
680,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,6,left,True,0.9779415130615234,981,11.668075323104858,68.83469042208782,1617.6751751530896,2.5822091062394605,37,8,15,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.02754158619406588
410,4,Leg Extension - Limited ROM,3,Leg Extension - Correct,3,Leg Extension - Correct,30,left,True,0.9599202871322632,731,8.762587547302246,62.66704412879647,2862.9752783491504,9.640247329960653,29,8,13,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_gyr; Ham_R_acc; TA_R_acc; Gast_R_acc; Gast_R_gyr; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.013536459197052913
303,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,5,Leg Extension - Lifting limb,28,right,False,3.5498990899607286e-13,257,3.206089735031128,4.751146593531242e-06,0.0004437394107582017,0.0,0,0,0,none,none,1.9771381997080683e-08
130,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,21,right,True,0.982286274433136,952,11.313423871994019,68.77535396735588,1365.5901862373698,1.854974704890388,37,8,15,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.024597617054926565
645,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,6,left,True,0.9886525273323059,778,9.212888240814209,40.87065868798158,1417.4583736912207,5.090640809443507,17,5,8,TA_R; RF_L; Ham_L; TA_L; Gast_L,TA_R_acc; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; Gast_L_acc; Gast_L_gyr,0.012462839772273474
650,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,6,left,True,0.9744968414306641,732,8.849836111068726,40.55036815690915,1265.5254748972864,4.026138279932547,13,5,8,TA_R; RF_L; Ham_L; TA_L; Gast_L,TA_R_acc; RF_L_acc; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; Gast_L_acc; Gast_L_gyr,0.018649032789904547
127,7,Walking - No full extension,6,Walking - Correct,6,Walking - Correct,21,right,True,0.9719275832176208,963,11.29449200630188,48.220531145994215,675.215695216805,0.9450534007869591,31,8,15,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; Ham_R_gyr; TA_R_acc; TA_R_gyr; Gast_R_acc; Gast_R_gyr; RF_L_gyr; Ham_L_acc; Ham_L_gyr; TA_L_acc; TA_L_gyr; Gast_L_acc; Gast_L_gyr,0.019838386657798027
637,5,Leg Extension - Lifting limb,3,Leg Extension - Correct,3,Leg Extension - Correct,6,left,True,0.9846930503845215,593,7.377236604690552,56.70761777431582,2320.1599833411096,7.054525014052839,20,8,11,RF_R; Ham_R; TA_R; Gast_R; RF_L; Ham_L; TA_L; Gast_L,RF_R_acc; RF_R_gyr; Ham_R_acc; TA_R_acc; Gast_R_acc; RF_L_acc; Ham_L_acc; Ham_L_gyr; TA_L_acc; Gast_L_acc; Gast_L_gyr,0.009054834668862536
